entry_date,expiry_date,strategy,call_strike,put_strike,entry_total_premium,exit_total_cost,gross_pnl,transaction_cost,net_pnl_rupees,exit_reason
2024-01-05,2024-01-11,short_straddle,21700.0,21700.0,222.5,56.2,166.3,7500,4972.5,target
2024-01-05,2024-01-18,short_straddle,21700.0,21700.0,352.95,241.8,111.15,7500,836.25,expiry
2024-01-05,2024-01-25,short_straddle,21700.0,21700.0,485.5,371.55,113.95,7500,1046.25,expiry
2024-01-05,2024-02-01,short_straddle,21700.0,21700.0,600.75,256.2,344.55,7500,18341.25,target
2024-01-05,2024-02-08,short_straddle,21700.0,21700.0,705.7,331.4,374.3,7500,20572.5,target
2024-01-12,2024-02-15,short_straddle,21900.0,21900.0,785.0,380.7,404.3,7500,22822.5,target
2024-01-19,2024-02-22,short_straddle,21600.0,21600.0,747.05,612.5,134.55,7500,2591.25,expiry
2024-01-05,2024-02-29,short_straddle,21700.0,21700.0,876.0,256.75,619.25,7500,38943.75,target
2024-02-02,2024-03-07,short_straddle,21850.0,21850.0,807.2,391.45,415.75,7500,23681.25,target
2024-02-09,2024-03-14,short_straddle,21800.0,21800.0,802.5,217.25,585.25,7500,36393.75,target
2024-02-16,2024-03-21,short_straddle,22050.0,22050.0,792.45,373.45,419.0,7500,23925.0,target
2024-01-05,2024-03-28,short_straddle,21700.0,21700.0,1145.5,558.45,587.05,7500,36528.75,target
2024-02-23,2024-04-04,short_straddle,22200.0,22200.0,867.8,378.35,489.45,7500,29208.75,target
2024-03-11,2024-04-10,short_straddle,22350.0,22350.0,796.2,384.35,411.85,7500,23388.75,target
2024-03-15,2024-04-18,short_straddle,22000.0,22000.0,742.6,364.1,378.5,7500,20887.5,target
2024-01-29,2024-04-25,short_straddle,21750.0,21750.0,1245.0,533.9,711.1,7500,45832.5,target
2024-03-22,2024-05-02,short_straddle,22100.0,22100.0,874.45,435.75,438.7,7500,25402.5,target
2024-04-05,2024-05-09,short_straddle,22500.0,22500.0,738.6,369.1,369.5,7500,20212.5,target
2024-04-12,2024-05-16,short_straddle,22500.0,22500.0,852.4,420.65,431.75,7500,24881.25,target
2024-04-19,2024-05-23,short_straddle,22150.0,22150.0,784.6,381.05,403.55,7500,22766.25,target
2024-03-01,2024-05-30,short_straddle,22350.0,22350.0,1288.0,613.4,674.6,7500,43095.0,target
2024-05-30,2024-06-06,short_straddle,22500.0,22500.0,862.95,332.1,530.85,7500,32313.75,target
2024-05-30,2024-06-13,short_straddle,22500.0,22500.0,1004.85,896.9,107.95,7500,596.25,expiry
2024-05-30,2024-06-20,short_straddle,22500.0,22500.0,1062.6,1066.45,-3.85,7500,-7788.75,expiry
2024-01-05,2024-06-27,short_straddle,22000.0,22000.0,1766.35,2046.6,-280.25,7500,-28518.75,expiry
2024-05-30,2024-07-04,short_straddle,22500.0,22500.0,1158.8,1563.55,-404.75,7500,-37856.25,expiry
2024-06-07,2024-07-11,short_straddle,23300.0,23300.0,1021.45,846.3,175.15,7500,5636.25,expiry
2024-06-14,2024-07-18,short_straddle,23450.0,23450.0,865.0,778.05,86.95,7500,-978.75,expiry
2024-05-30,2024-07-25,short_straddle,22500.0,22500.0,1360.45,1683.7,-323.25,7500,-31743.75,expiry
2024-06-21,2024-08-01,short_straddle,23500.0,23500.0,843.0,1010.75,-167.75,7500,-20081.25,expiry
2024-05-31,2024-08-29,short_straddle,22550.0,22550.0,1289.6,1426.1,-136.5,7500,-17737.5,expiry
2024-01-05,2024-09-26,short_straddle,22000.0,22000.0,3084.25,2480.0,604.25,7500,37818.75,expiry
2024-01-05,2024-12-26,short_straddle,22000.0,22000.0,2503.85,2980.5,-476.65,7500,-43248.75,expiry
2024-04-01,2025-03-27,short_straddle,22000.0,22000.0,2920.9,2668.3,252.6,7500,11445.0,expiry
2024-01-05,2025-06-26,short_straddle,22000.0,22000.0,6045.55,2863.15,3182.4,7500,231180.0,target
2024-01-05,2025-12-24,short_straddle,22000.0,22000.0,3330.0,4533.5,-1203.5,7500,-97762.5,expiry
2024-01-05,2026-06-25,short_straddle,22000.0,22000.0,6552.05,6552.05,0.0,7500,-7500.0,expiry
2024-01-05,2026-12-31,short_straddle,22000.0,22000.0,3648.65,3845.6,-196.95,7500,-22271.25,expiry
2024-01-05,2027-06-24,short_straddle,22000.0,22000.0,6778.9,6778.9,0.0,7500,-7500.0,expiry
2024-01-05,2027-12-30,short_straddle,22000.0,22000.0,6367.45,6367.45,0.0,7500,-7500.0,expiry
2024-01-05,2028-06-29,short_straddle,22000.0,22000.0,5897.4,5279.55,617.85,7500,38838.75,expiry
2024-01-05,2028-12-28,short_straddle,22000.0,22000.0,7367.75,7432.5,-64.75,7500,-12356.25,expiry
